doc_id,item,category,amount,price,discount
C4E5D5886CDF,Сковорода с антипригарным покрытием,Кухонная утварь,1,1748.22,0
C4E5D5886CDF,Сковорода с антипригарным покрытием,Кухонная утварь,3,1861.47,903.24
C77AE8B411D4,Блендер погружной,Мелкая бытовая техника,3,2029.08,0
C77AE8B411D4,Форма для выпечки,Кухонная утварь,1,439.97,51.36
C77AE8B411D4,Кастрюля эмалированная,Кухонная утварь,1,978.89,0
A5EF04CFE6B4,Средство для мытья посуды,Бытовая химия,2,152.01,0
A5EF04CFE6B4,Полотенце махровое,Текстиль,2,355.31,0
A5EF04CFE6B4,Сковорода с антипригарным покрытием,Кухонная утварь,1,1809.12,0
A5EF04CFE6B4,Тостер,Мелкая бытовая техника,1,1443.84,0
D6F1AE5E84B2,Средство для мытья посуды,Бытовая химия,2,146.31,0
D6F1AE5E84B2,Средство для чистки стекол,Бытовая химия,3,123.67,0
ED9EA384002D,Средство для чистки стекол,Бытовая химия,1,122.4,21.9
ED9EA384002D,Блендер погружной,Мелкая бытовая техника,1,2022.17,390.38
ED9EA384002D,Плед флисовый,Текстиль,2,925.09,226.06
ED9EA384002D,Блендер погружной,Мелкая бытовая техника,2,2091.45,0
ED9EA384002D,Кастрюля эмалированная,Кухонная утварь,3,974.69,292.65
358D5D12508F,Полотенце махровое,Текстиль,1,346.53,53.67
358D5D12508F,Полотенце махровое,Текстиль,2,333.13,0
358D5D12508F,Форма для выпечки,Кухонная утварь,1,440.62,0
B201A2702D00,Сковорода с антипригарным покрытием,Кухонная утварь,2,1851.25,0
184D2B00732C,Комплект постельного белья,Текстиль,2,2452.96,0
184D2B00732C,Средство для мытья посуды,Бытовая химия,3,152.62,70.36
5588141AA3D6,Тостер,Мелкая бытовая техника,1,1502.49,96.23
5588141AA3D6,Чайник заварочный,Кухонная утварь,2,702.74,0
5588141AA3D6,Сковорода с антипригарным покрытием,Кухонная утварь,1,1866.77,0
46B7C2C5AB58,Весы кухонные,Мелкая бытовая техника,1,820.11,0
46B7C2C5AB58,Блендер погружной,Мелкая бытовая техника,1,2092.43,0
E87CB92802B5,Средство для мытья посуды,Бытовая химия,1,152.32,0
E87CB92802B5,Тостер,Мелкая бытовая техника,3,1461.53,432.03
E87CB92802B5,Таблетки для посудомойки,Бытовая химия,2,835.93,0
E87CB92802B5,Кондиционер для белья,Бытовая химия,1,229.12,0
DE0D5A658383,Средство для мытья посуды,Бытовая химия,3,152.24,0
DE0D5A658383,Тостер,Мелкая бытовая техника,3,1455.19,0
DE0D5A658383,Сковорода с антипригарным покрытием,Кухонная утварь,3,1782.63,0
B95417313B48,Таблетки для посудомойки,Бытовая химия,2,825.08,0
B95417313B48,Сковорода с антипригарным покрытием,Кухонная утварь,1,1770.7,0
B95417313B48,Кондиционер для белья,Бытовая химия,1,210.9,0
B95417313B48,Средство для чистки стекол,Бытовая химия,3,115.48,18.86
BF5B8695F40A,Полотенце махровое,Текстиль,1,346.34,0
BF5B8695F40A,Блендер погружной,Мелкая бытовая техника,2,2087.19,0
BF5B8695F40A,Набор ножей,Кухонная утварь,3,1181.31,0
BF5B8695F40A,Скатерть,Текстиль,2,584.07,0
BF5B8695F40A,Стиральный порошок 3кг,Бытовая химия,3,461.25,77.24
B89E9616E202,Таблетки для посудомойки,Бытовая химия,1,769.54,0
B89E9616E202,Скатерть,Текстиль,1,581.88,0
B89E9616E202,Таблетки для посудомойки,Бытовая химия,2,837.1,0
B89E9616E202,Сковорода с антипригарным покрытием,Кухонная утварь,1,1834.47,0
B89E9616E202,Плед флисовый,Текстиль,1,880.94,0
D49D546F68C6,Комплект постельного белья,Текстиль,2,2468.03,675.97
D49D546F68C6,Таблетки для посудомойки,Бытовая химия,2,820.58,203.96
D49D546F68C6,Средство для мытья посуды,Бытовая химия,1,143.76,0
D49D546F68C6,Стиральный порошок 3кг,Бытовая химия,3,449.1,104.98
D49D546F68C6,Форма для выпечки,Кухонная утварь,1,454.63,0
92CE3E201F9F,Скатерть,Текстиль,3,620.06,103.65
92CE3E201F9F,Чайник заварочный,Кухонная утварь,1,671.85,79.56
92CE3E201F9F,Тостер,Мелкая бытовая техника,1,1470.59,0
92CE3E201F9F,Средство для мытья посуды,Бытовая химия,1,146.08,0
