doc_id,item,category,amount,price,discount
8DB9FDC2BA02,Форма для выпечки,Кухонная утварь,1,429.59,0
8DB9FDC2BA02,Тостер,Мелкая бытовая техника,2,1540.61,0
8DB9FDC2BA02,Весы кухонные,Мелкая бытовая техника,3,809.01,0
8DB9FDC2BA02,Стиральный порошок 3кг,Бытовая химия,2,466.11,0
F8F4E6A75594,Плед флисовый,Текстиль,1,940.4,0
F8F4E6A75594,Полотенце махровое,Текстиль,3,361.0,0
F8F4E6A75594,Кастрюля эмалированная,Кухонная утварь,2,969.13,144.13
F8F4E6A75594,Стиральный порошок 3кг,Бытовая химия,3,447.79,0
AD88A8691639,Блендер погружной,Мелкая бытовая техника,3,2102.67,0
AD88A8691639,Комплект постельного белья,Текстиль,3,2563.08,0
AD88A8691639,Полотенце махровое,Текстиль,2,334.21,0
05B7EE667845,Форма для выпечки,Кухонная утварь,1,454.52,0
05B7EE667845,Весы кухонные,Мелкая бытовая техника,3,794.81,416.2
3FB98267AC8E,Средство для мытья посуды,Бытовая химия,2,142.94,0
3FB98267AC8E,Весы кухонные,Мелкая бытовая техника,3,797.38,252.25
2420ACB7A1DA,Средство для мытья посуды,Бытовая химия,3,151.69,85.8
E0ECAC5407F8,Кондиционер для белья,Бытовая химия,1,219.71,0
E0ECAC5407F8,Форма для выпечки,Кухонная утварь,2,443.55,102.7
648C8CDD7E92,Средство для мытья посуды,Бытовая химия,1,151.27,0
648C8CDD7E92,Плед флисовый,Текстиль,2,873.24,144.47
648C8CDD7E92,Кондиционер для белья,Бытовая химия,2,210.76,0
648C8CDD7E92,Скатерть,Текстиль,1,600.03,0
D98D993E4096,Скатерть,Текстиль,3,617.84,0
9284009CC207,Тостер,Мелкая бытовая техника,3,1523.39,0
9284009CC207,Полотенце махровое,Текстиль,3,360.86,0
9284009CC207,Блендер погружной,Мелкая бытовая техника,2,2141.99,0
9284009CC207,Сковорода с антипригарным покрытием,Кухонная утварь,2,1830.52,0
9284009CC207,Тостер,Мелкая бытовая техника,3,1546.92,0
0011F119A643,Стиральный порошок 3кг,Бытовая химия,3,433.99,0
75940FCA40AE,Средство для мытья посуды,Бытовая химия,3,156.24,0
75940FCA40AE,Скатерть,Текстиль,3,570.31,0
75940FCA40AE,Средство для мытья посуды,Бытовая химия,3,153.18,39.28
75940FCA40AE,Сковорода с антипригарным покрытием,Кухонная утварь,1,1711.76,0
8CF4590775BA,Стиральный порошок 3кг,Бытовая химия,3,440.69,229.14
8CF4590775BA,Комплект постельного белья,Текстиль,2,2578.71,0
3F2FEEBAB2F1,Тостер,Мелкая бытовая техника,2,1486.44,0
3F2FEEBAB2F1,Средство для чистки стекол,Бытовая химия,1,117.92,11.88
3F2FEEBAB2F1,Кондиционер для белья,Бытовая химия,3,227.69,0
3F2FEEBAB2F1,Блендер погружной,Мелкая бытовая техника,1,2022.54,0
E4318DD85CF6,Весы кухонные,Мелкая бытовая техника,1,833.41,0
E4318DD85CF6,Чайник заварочный,Кухонная утварь,2,667.22,0
E4318DD85CF6,Тостер,Мелкая бытовая техника,1,1530.08,0
E4318DD85CF6,Сковорода с антипригарным покрытием,Кухонная утварь,1,1721.96,103.72
8AC1AAD00F8C,Кондиционер для белья,Бытовая химия,1,213.42,0
8AC1AAD00F8C,Скатерть,Текстиль,3,607.33,0
8AC1AAD00F8C,Средство для чистки стекол,Бытовая химия,3,114.72,42.63
8AC1AAD00F8C,Скатерть,Текстиль,3,595.8,189.31
44B6A99B9B2C,Скатерть,Текстиль,1,578.33,96.04
44B6A99B9B2C,Стиральный порошок 3кг,Бытовая химия,3,446.45,0
44B6A99B9B2C,Полотенце махровое,Текстиль,1,355.53,0
44B6A99B9B2C,Весы кухонные,Мелкая бытовая техника,3,781.78,448.87
44B6A99B9B2C,Скатерть,Текстиль,3,608.85,0
72C756D5AA3F,Блендер погружной,Мелкая бытовая техника,2,2059.07,0
72C756D5AA3F,Кондиционер для белья,Бытовая химия,3,209.73,0
72C756D5AA3F,Весы кухонные,Мелкая бытовая техника,1,765.94,0
7B74DA6D04CF,Весы кухонные,Мелкая бытовая техника,3,787.87,0
7B74DA6D04CF,Весы кухонные,Мелкая бытовая техника,2,766.36,0
B0C50A8736FD,Плед флисовый,Текстиль,3,923.14,0
B0C50A8736FD,Комплект постельного белья,Текстиль,3,2423.41,620.38
B0C50A8736FD,Тостер,Мелкая бытовая техника,1,1488.08,112.15
B0C50A8736FD,Средство для мытья посуды,Бытовая химия,1,153.8,0
820971905907,Средство для чистки стекол,Бытовая химия,2,122.22,27.01
82DB636B7FA7,Средство для мытья посуды,Бытовая химия,2,155.32,0
82DB636B7FA7,Скатерть,Текстиль,1,571.18,0
82DB636B7FA7,Весы кухонные,Мелкая бытовая техника,1,786.52,63.12
82DB636B7FA7,Средство для чистки стекол,Бытовая химия,2,123.91,0
82DB636B7FA7,Кастрюля эмалированная,Кухонная утварь,1,903.72,159.41
710AC4A9975F,Средство для чистки стекол,Бытовая химия,1,117.2,0
710AC4A9975F,Набор ножей,Кухонная утварь,3,1199.03,522.8
