doc_id,item,category,amount,price,discount
670AC8244D43,Таблетки для посудомойки,Бытовая химия,2,774.96,0
670AC8244D43,Сковорода с антипригарным покрытием,Кухонная утварь,1,1873.79,244.95
C9D781CDA119,Комплект постельного белья,Текстиль,1,2397.18,0
C9D781CDA119,Комплект постельного белья,Текстиль,2,2523.04,0
C9D781CDA119,Кастрюля эмалированная,Кухонная утварь,2,918.02,335.23
5380562A7616,Блендер погружной,Мелкая бытовая техника,1,2038.86,0
5380562A7616,Скатерть,Текстиль,1,584.88,0
5380562A7616,Блендер погружной,Мелкая бытовая техника,3,2150.88,1015.6
9B6D732F80CF,Набор ножей,Кухонная утварь,3,1173.73,0
9B6D732F80CF,Тостер,Мелкая бытовая техника,1,1499.64,0
0B143F7DF6CD,Чайник заварочный,Кухонная утварь,2,706.1,267.31
0B143F7DF6CD,Скатерть,Текстиль,3,579.29,0
0B143F7DF6CD,Таблетки для посудомойки,Бытовая химия,2,829.87,0
0B143F7DF6CD,Полотенце махровое,Текстиль,1,334.33,0
0B143F7DF6CD,Форма для выпечки,Кухонная утварь,3,450.56,209.86
34CDA2A1E487,Средство для чистки стекол,Бытовая химия,2,121.9,33.09
8E285E405F4C,Весы кухонные,Мелкая бытовая техника,3,774.2,212.86
8E285E405F4C,Таблетки для посудомойки,Бытовая химия,2,831.45,0
8E285E405F4C,Блендер погружной,Мелкая бытовая техника,3,2111.32,0
8E285E405F4C,Кастрюля эмалированная,Кухонная утварь,3,914.08,0
6D175914B9F4,Тостер,Мелкая бытовая техника,2,1527.54,0
6D175914B9F4,Блендер погружной,Мелкая бытовая техника,3,2095.21,745.79
6D175914B9F4,Скатерть,Текстиль,1,608.54,0
6D175914B9F4,Блендер погружной,Мелкая бытовая техника,1,2168.95,0
6D175914B9F4,Комплект постельного белья,Текстиль,3,2411.97,0
6A311E6B0A59,Скатерть,Текстиль,3,576.31,134.35
6A311E6B0A59,Средство для чистки стекол,Бытовая химия,2,116.23,0
6A311E6B0A59,Комплект постельного белья,Текстиль,1,2477.35,0
6A311E6B0A59,Плед флисовый,Текстиль,2,887.23,255.28
DD1EF7D9D0E5,Весы кухонные,Мелкая бытовая техника,2,811.42,288.75
DD1EF7D9D0E5,Весы кухонные,Мелкая бытовая техника,3,788.96,0
DD1EF7D9D0E5,Сковорода с антипригарным покрытием,Кухонная утварь,1,1826.42,0
4A4E39EF46D3,Средство для мытья посуды,Бытовая химия,2,148.41,0
4A4E39EF46D3,Кондиционер для белья,Бытовая химия,2,213.73,0
783A90E8BB00,Кастрюля эмалированная,Кухонная утварь,2,906.91,0
783A90E8BB00,Форма для выпечки,Кухонная утварь,3,466.42,0
783A90E8BB00,Комплект постельного белья,Текстиль,1,2387.51,0
783A90E8BB00,Скатерть,Текстиль,1,606.65,0
CA8739568196,Таблетки для посудомойки,Бытовая химия,3,769.8,0
CA8739568196,Скатерть,Текстиль,1,596.22,40.62
CA8739568196,Средство для чистки стекол,Бытовая химия,1,124.07,0
CA8739568196,Средство для чистки стекол,Бытовая химия,2,117.16,23.05
CA8739568196,Тостер,Мелкая бытовая техника,2,1533.09,0
D1BA499F4B58,Комплект постельного белья,Текстиль,2,2621.98,0
D1BA499F4B58,Полотенце махровое,Текстиль,1,364.65,0
2436E8F9B41A,Плед флисовый,Текстиль,3,886.92,0
2436E8F9B41A,Средство для мытья посуды,Бытовая химия,1,153.52,24.09
F17118966AC4,Весы кухонные,Мелкая бытовая техника,2,820.31,0
446612FD2C87,Скатерть,Текстиль,2,627.18,0
446612FD2C87,Кондиционер для белья,Бытовая химия,2,228.18,65.09
446612FD2C87,Плед флисовый,Текстиль,3,858.67,0
446612FD2C87,Таблетки для посудомойки,Бытовая химия,2,818.92,306.36
5C0C3E6A3C7A,Скатерть,Текстиль,3,598.28,0
5C0C3E6A3C7A,Тостер,Мелкая бытовая техника,3,1427.8,0
5C0C3E6A3C7A,Чайник заварочный,Кухонная утварь,3,704.68,297.44
