doc_id,item,category,amount,price,discount
3DDEA2D7EB8F,Скатерть,Текстиль,2,619.7,0
3DDEA2D7EB8F,Кастрюля эмалированная,Кухонная утварь,2,993.47,0
3DDEA2D7EB8F,Чайник заварочный,Кухонная утварь,3,724.34,0
051F28D950E6,Таблетки для посудомойки,Бытовая химия,3,772.2,0
051F28D950E6,Скатерть,Текстиль,1,616.29,69.23
051F28D950E6,Весы кухонные,Мелкая бытовая техника,1,813.91,0
051F28D950E6,Средство для мытья посуды,Бытовая химия,2,157.37,0
FFB382E94AAE,Скатерть,Текстиль,3,596.49,0
3F908B816DE9,Тостер,Мелкая бытовая техника,2,1551.77,0
3F908B816DE9,Тостер,Мелкая бытовая техника,2,1531.41,0
3F908B816DE9,Полотенце махровое,Текстиль,1,349.5,0
3F908B816DE9,Форма для выпечки,Кухонная утварь,3,464.83,0
CE8200664FD8,Полотенце махровое,Текстиль,3,333.08,189.91
CE8200664FD8,Тостер,Мелкая бытовая техника,2,1530.42,0
CE8200664FD8,Таблетки для посудомойки,Бытовая химия,2,828.67,0
CE8200664FD8,Средство для чистки стекол,Бытовая химия,2,120.96,23.85
CE8200664FD8,Полотенце махровое,Текстиль,1,341.75,0
7BC2DB93BACF,Кондиционер для белья,Бытовая химия,1,221.26,0
7BC2DB93BACF,Стиральный порошок 3кг,Бытовая химия,3,445.73,0
7BC2DB93BACF,Блендер погружной,Мелкая бытовая техника,3,2142.51,0
7BC2DB93BACF,Кастрюля эмалированная,Кухонная утварь,1,965.06,87.28
7BC2DB93BACF,Средство для чистки стекол,Бытовая химия,1,121.68,0
EA2605FE9D66,Чайник заварочный,Кухонная утварь,2,713.63,95.75
EA2605FE9D66,Тостер,Мелкая бытовая техника,1,1471.3,0
EA2605FE9D66,Набор ножей,Кухонная утварь,1,1142.13,0
EA2605FE9D66,Чайник заварочный,Кухонная утварь,3,730.82,215.5
EA2605FE9D66,Весы кухонные,Мелкая бытовая техника,1,811.09,0
DAFF869D38F4,Средство для мытья посуды,Бытовая химия,1,152.41,0
DAFF869D38F4,Средство для чистки стекол,Бытовая химия,1,117.06,0
C4B5ECE50537,Комплект постельного белья,Текстиль,3,2584.26,1499.06
C4B5ECE50537,Блендер погружной,Мелкая бытовая техника,1,2119.28,0
C4B5ECE50537,Кондиционер для белья,Бытовая химия,2,219.86,47.25
C4B5ECE50537,Скатерть,Текстиль,2,585.6,177.92
4C8122FB975C,Сковорода с антипригарным покрытием,Кухонная утварь,2,1805.84,0
